"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends
2024-06-01,2024-07-11,"GIF - Multiple Colorways - 1A - SPT CP",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,15882,37191,211.59,-,-,-,211.59,Ongoing
2024-06-01,2024-07-11,"GIF - Multiple Colorways - 1A - SPT CP",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",,,3753,9889,,-,-,-,44.7,Ongoing
2024-06-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",inactive,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,6657,7508,85.05,-,-,-,85.05,Ongoing
2024-06-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,4339,4922,201.22,-,-,-,201.22,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.2A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,8192,13034,73.214,-,-,-,366.07,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.2A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,1314,2197,,-,-,-,69.86,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.1A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,933,1341,,-,-,-,47.48,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.1A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,399,516,,-,-,-,12.76,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.1A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,629,833,,-,-,-,28.51,Ongoing
2024-06-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.2A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,1530,2495,63.79,-,-,-,63.79,Ongoing
